Method,Category,Accuracy,AUC,Precision,Recall,F1,DPD,DPR,EOD,TPR_Diff,FPR_Diff,TradeoffScore,Dataset,Acc_Rank,DPD_Rank,Combined_Rank
Baseline,Baseline,0.6857451403887689,,0.7101449275362319,0.5231316725978647,0.6024590163934426,0.2560800209205021,0.4423405466970387,0.212884368056179,0.2866102374272039,0.1391584986851541,,COMPAS,6.0,15.5,21.5
Reweighing,Pre-processing,0.6846652267818575,,0.714759535655058,0.5112692763938316,0.5961272475795297,0.2545483413030484,0.4327547452547453,0.2125637175720354,0.2918857425789262,0.1332416925651446,,COMPAS,10.0,13.0,23.0
DIR (r=0.5),Pre-processing,0.6862850971922246,,0.707936507936508,0.5290628706998813,0.6055668703326544,0.215766026598924,0.5146533613445379,0.1703458222420881,0.2367670289769645,0.1039246155072117,,COMPAS,3.0,8.0,11.0
DIR (r=1.0),Pre-processing,0.6857451403887689,,0.7023255813953488,0.5373665480427047,0.6088709677419355,0.1687556037059175,0.6074687174139729,0.1207747515951601,0.1759307287859853,0.065618774404335,,COMPAS,6.0,7.0,13.0
LabelFlip (targeted),Pre-processing,0.6803455723542117,,0.7302752293577982,0.4721233689205219,0.5734870317002881,0.2500933950986252,0.3977599856063332,0.2110886131776869,0.2968724211916158,0.125304805163758,,COMPAS,15.0,12.0,27.0
LabelFlip (equalize),Pre-processing,0.683585313174946,,0.7227036395147314,0.494661921708185,0.5873239436619718,0.2489726539151225,0.4236855759252853,0.2078550313971927,0.2893334590809422,0.1263766037134432,,COMPAS,12.0,11.0,23.0
Sampling (oversample),Pre-processing,0.673866090712743,,0.6378316032295271,0.6559905100830368,0.6467836257309941,0.2798957710699342,0.5362558801683586,0.2341208533799245,0.2772145332798906,0.1910271734799585,,COMPAS,16.0,22.0,38.0
Sampling (undersample),Pre-processing,0.6711663066954644,,0.6320541760722348,0.66429418742586,0.6477732793522267,0.2716629931261208,0.5545286081842685,0.2259498635013351,0.2660681866408884,0.1858315403617818,,COMPAS,17.0,20.0,37.0
Sampling (hybrid),Pre-processing,0.683585313174946,,0.6520710059171597,0.6536180308422301,0.6528436018957346,0.2828283771667663,0.5231324011085916,0.2338134400448945,0.2733006389550373,0.1943262411347518,,COMPAS,12.0,23.0,35.0
FairReg (λ=0.1),In-processing,0.6387688984881209,,0.7753164556962026,0.2906287069988137,0.4227782571182053,0.161900403466826,0.3496773709483793,0.1361467911277148,0.2011883149034494,0.0711052673519802,,COMPAS,19.0,6.0,25.0
FairReg (λ=0.5),In-processing,0.6376889848812095,,0.7756410256410257,0.2870699881376038,0.419047619047619,0.157716303048416,0.3556547619047618,0.1320877748784569,0.1953174734161695,0.0688580763407442,,COMPAS,20.0,5.0,25.0
FairReg (λ=1.0),In-processing,0.6371490280777538,,0.7766990291262136,0.2846975088967972,0.4166666666666667,0.1545782277346085,0.360273654916512,0.1290072322104123,0.1914035790913163,0.0666108853295083,,COMPAS,21.0,4.0,25.0
FairReg (λ=2.0),In-processing,0.6355291576673866,,0.7818791946308725,0.2763938315539739,0.4084136722173532,0.1430719515839808,0.3782873376623377,0.1176635351194472,0.17770494895433,0.0576221212845645,,COMPAS,22.0,3.0,25.0
Adversarial (w=0.5),In-processing,0.6889848812095032,,0.6966126656848306,0.561091340450771,0.621550591327201,0.2605349671249253,0.4711859265999393,0.2140302170256464,0.27469761629689,0.1533628177544027,,COMPAS,2.0,19.0,21.0
Adversarial (w=1.0),In-processing,0.6927645788336934,,0.7075757575757575,0.5539739027283511,0.6214238190286094,0.2752540346682606,0.4377289377289377,0.2299839553619136,0.3076768915191097,0.1522910192047175,,COMPAS,1.0,21.0,22.0
Constrained (ε=0.05),In-processing,0.683585313174946,,0.7196581196581197,0.4994068801897983,0.5896358543417367,0.2486924686192468,0.4298561151079136,0.2058509396848366,0.2723162709546601,0.1393856084150131,,COMPAS,12.0,9.0,21.0
